时间戳,绝对时间,相对时间(s),功能码,参数,校验通过,Roll,Pitch,Yaw,MagDisturb,Temp
17:06:53.781,17:06:53.781,0.0,0x82,0x00,True,0.83,-3.27,-38.91,0,37.81
17:07:03.754,17:07:03.754,9.973,0x82,0x00,True,0.82,-3.28,-38.91,0,38.75
17:07:13.746,17:07:13.746,19.965,0x82,0x00,True,0.83,-3.29,-38.91,0,39.52
17:07:23.740,17:07:23.740,29.959,0x82,0x00,True,0.83,-3.23,-38.91,0,40.12
17:07:33.780,17:07:33.780,39.999,0x82,0x00,True,0.84,-3.23,-38.91,0,40.66
17:07:43.781,17:07:43.781,50.0,0x82,0x00,True,0.84,-3.25,-38.91,0,41.29
17:08:19.322,17:08:19.322,85.541,0x82,0x00,True,0.65,-2.29,-38.73,0,42.69
17:08:29.303,17:08:29.303,95.522,0x82,0x00,True,0.84,-3.19,-39.02,0,43.07
17:08:39.302,17:08:39.302,105.521,0x82,0x00,True,0.84,-3.17,-39.02,0,43.59
17:08:49.303,17:08:49.303,115.522,0x82,0x00,True,0.9,-3.23,-39.02,0,43.9
17:08:59.303,17:08:59.303,125.522,0x82,0x00,True,0.87,-3.14,-39.02,0,44.23
17:09:09.303,17:09:09.303,135.522,0x82,0x00,True,0.89,-3.16,-39.02,0,44.52
17:09:19.303,17:09:19.303,145.522,0x82,0x00,True,0.87,-3.1,-39.02,0,44.78
17:09:29.302,17:09:29.302,155.521,0x82,0x00,True,0.87,-3.15,-39.02,0,45.08
17:09:39.303,17:09:39.303,165.522,0x82,0x00,True,0.86,-3.16,-39.02,0,45.27
17:09:49.327,17:09:49.327,175.546,0x82,0x00,True,0.88,-3.14,-39.02,0,45.5
17:09:59.302,17:09:59.302,185.521,0x82,0x00,True,0.89,-3.12,-39.02,0,45.66
17:10:09.302,17:10:09.302,195.521,0x82,0x00,True,0.89,-3.09,-39.02,0,45.84
17:10:19.302,17:10:19.302,205.521,0x82,0x00,True,0.91,-3.15,-39.02,0,46.0
17:10:29.312,17:10:29.312,215.531,0x82,0x00,True,0.88,-3.14,-39.02,0,46.25
17:10:39.296,17:10:39.296,225.515,0x82,0x00,True,0.87,-3.11,-39.02,0,46.42
17:10:49.312,17:10:49.312,235.531,0x82,0x00,True,0.88,-3.08,-39.02,0,46.48
17:10:59.313,17:10:59.313,245.532,0x82,0x00,True,0.87,-3.1,-39.02,0,46.61
17:11:09.313,17:11:09.313,255.532,0x82,0x00,True,0.87,-3.14,-39.02,0,46.89
17:11:19.313,17:11:19.313,265.532,0x82,0x00,True,0.86,-3.12,-39.02,0,46.92
17:11:29.313,17:11:29.313,275.532,0x82,0x00,True,0.91,-3.15,-39.02,0,47.01
17:11:39.313,17:11:39.313,285.532,0x82,0x00,True,0.86,-3.13,-39.02,0,47.19
17:11:49.313,17:11:49.313,295.532,0x82,0x00,True,0.89,-3.09,-39.02,0,47.29
17:11:59.313,17:11:59.313,305.532,0x82,0x00,True,0.89,-3.1,-39.02,0,47.37
17:12:09.322,17:12:09.322,315.541,0x82,0x00,True,0.88,-3.12,-39.02,0,47.47
17:12:19.322,17:12:19.322,325.541,0x82,0x00,True,0.91,-3.06,-39.02,0,47.64
17:12:29.322,17:12:29.322,335.541,0x82,0x00,True,0.91,-3.12,-39.02,0,47.72
17:12:39.322,17:12:39.322,345.541,0x82,0x00,True,0.91,-3.12,-39.02,0,47.69
17:12:49.342,17:12:49.342,355.561,0x82,0x00,True,0.89,-3.06,-39.02,0,47.75
17:12:59.332,17:12:59.332,365.551,0x82,0x00,True,0.9,-3.07,-39.02,0,47.96
17:13:09.332,17:13:09.332,375.551,0x82,0x00,True,0.93,-3.13,-39.02,0,47.95
17:13:19.342,17:13:19.342,385.561,0x82,0x00,True,0.88,-3.07,-39.02,0,47.97
17:13:29.342,17:13:29.342,395.561,0x82,0x00,True,0.86,-3.1,-39.02,0,48.02
17:13:39.342,17:13:39.342,405.561,0x82,0x00,True,0.89,-3.05,-39.02,0,48.11
17:13:49.352,17:13:49.352,415.571,0x82,0x00,True,0.89,-3.06,-39.02,0,48.06
17:13:59.353,17:13:59.353,425.572,0x82,0x00,True,0.9,-3.06,-39.02,0,48.12
17:14:09.353,17:14:09.353,435.572,0x82,0x00,True,0.91,-3.08,-39.02,0,48.16
17:14:19.363,17:14:19.363,445.582,0x82,0x00,True,0.89,-3.12,-39.02,0,48.24
17:14:29.363,17:14:29.363,455.582,0x82,0x00,True,0.88,-3.08,-39.02,0,48.27
17:14:39.378,17:14:39.378,465.597,0x82,0x00,True,0.86,-3.11,-39.02,0,48.3
17:14:49.377,17:14:49.377,475.596,0x82,0x00,True,0.89,-3.06,-39.02,0,48.35
17:14:59.403,17:14:59.403,485.622,0x82,0x00,True,0.9,-3.08,-39.02,0,48.39
17:15:09.382,17:15:09.382,495.601,0x82,0x00,True,0.88,-3.11,-39.02,0,48.36
17:15:19.393,17:15:19.393,505.612,0x82,0x00,True,0.91,-3.09,-39.02,0,48.36
17:15:29.393,17:15:29.393,515.612,0x82,0x00,True,0.88,-3.06,-39.02,0,48.42
17:15:39.392,17:15:39.392,525.611,0x82,0x00,True,0.93,-3.02,-39.02,0,48.49
17:15:49.422,17:15:49.422,535.641,0x82,0x00,True,0.95,-3.05,-39.02,0,48.42
17:15:59.403,17:15:59.403,545.622,0x82,0x00,True,0.9,-3.05,-39.02,0,48.46
17:16:09.403,17:16:09.403,555.622,0x82,0x00,True,0.91,-3.05,-39.02,0,48.5
17:16:19.412,17:16:19.412,565.631,0x82,0x00,True,0.92,-3.08,-39.02,0,48.51
17:16:29.412,17:16:29.412,575.631,0x82,0x00,True,0.87,-3.09,-39.02,0,48.46
17:16:39.412,17:16:39.412,585.631,0x82,0x00,True,0.91,-3.1,-39.02,0,48.56
17:16:49.443,17:16:49.443,595.662,0x82,0x00,True,0.92,-3.09,-39.02,0,48.5
17:16:59.457,17:16:59.457,605.676,0x82,0x00,True,0.88,-3.08,-39.02,0,48.52
17:17:09.457,17:17:09.457,615.676,0x82,0x00,True,0.89,-3.07,-39.02,0,48.5
17:17:19.433,17:17:19.433,625.652,0x82,0x00,True,0.92,-3.1,-39.02,0,48.49
17:17:29.432,17:17:29.432,635.651,0x82,0x00,True,0.91,-3.09,-39.02,0,48.53
17:17:39.443,17:17:39.443,645.662,0x82,0x00,True,0.89,-3.09,-39.02,0,48.46
17:17:49.443,17:17:49.443,655.662,0x82,0x00,True,0.89,-3.02,-39.02,0,48.49
17:17:59.443,17:17:59.443,665.662,0x82,0x00,True,0.95,-3.08,-39.02,0,48.51
17:18:09.467,17:18:09.467,675.686,0x82,0x00,True,0.85,-3.02,-39.02,0,48.55
17:18:19.457,17:18:19.457,685.676,0x82,0x00,True,0.9,-3.04,-39.02,0,48.56
17:18:29.458,17:18:29.458,695.677,0x82,0x00,True,0.9,-3.04,-39.02,0,48.54
17:18:39.473,17:18:39.473,705.692,0x82,0x00,True,0.93,-3.07,-39.02,0,48.59
17:18:49.473,17:18:49.473,715.692,0x82,0x00,True,0.89,-3.1,-39.02,0,48.54
17:18:59.472,17:18:59.472,725.691,0x82,0x00,True,0.91,-3.04,-39.02,0,48.55
17:19:09.473,17:19:09.473,735.692,0x82,0x00,True,0.88,-3.06,-39.02,0,48.5
17:19:19.473,17:19:19.473,745.692,0x82,0x00,True,0.9,-3.09,-39.02,0,48.56
17:19:29.483,17:19:29.483,755.702,0x82,0x00,True,0.87,-3.08,-39.01,0,48.46
17:19:39.483,17:19:39.483,765.702,0x82,0x00,True,0.88,-3.08,-39.01,0,48.51
17:19:49.483,17:19:49.483,775.702,0x82,0x00,True,0.88,-3.03,-39.01,0,48.5
17:19:59.483,17:19:59.483,785.702,0x82,0x00,True,0.9,-3.07,-39.01,0,48.47
17:20:09.492,17:20:09.492,795.711,0x82,0x00,True,0.88,-3.04,-39.01,0,48.47
17:20:19.492,17:20:19.492,805.711,0x82,0x00,True,0.88,-3.03,-39.01,0,48.48
17:20:29.503,17:20:29.503,815.722,0x82,0x00,True,0.92,-3.03,-39.01,0,48.45
17:20:39.502,17:20:39.502,825.721,0x82,0x00,True,0.87,-3.04,-39.01,0,48.38
17:20:49.502,17:20:49.502,835.721,0x82,0x00,True,0.9,-3.08,-39.01,0,48.3
17:20:59.512,17:20:59.512,845.731,0x82,0x00,True,0.9,-3.02,-39.01,0,48.34
17:21:09.513,17:21:09.513,855.732,0x82,0x00,True,0.88,-3.05,-39.01,0,48.33
17:21:19.523,17:21:19.523,865.742,0x82,0x00,True,0.88,-3.06,-39.01,0,48.29
17:21:29.522,17:21:29.522,875.741,0x82,0x00,True,0.89,-3.03,-39.01,0,48.34
17:21:39.522,17:21:39.522,885.741,0x82,0x00,True,0.9,-3.08,-39.01,0,48.27
