时间戳,绝对时间,相对时间(s),功能码,参数,校验通过,Roll,Pitch,Yaw,MagDisturb,Temp
16:34:20.340,16:34:20.340,0.0,0x82,0x00,True,2.25,-4.45,99.72,0,55.04
16:34:50.370,16:34:50.370,30.03,0x82,0x00,True,2.25,-4.42,99.76,0,55.02
16:35:20.391,16:35:20.391,60.051,0x82,0x00,True,2.28,-4.42,99.81,0,55.17
16:35:50.420,16:35:50.420,90.08,0x82,0x00,True,2.27,-4.4,99.8,0,55.15
16:36:20.481,16:36:20.481,120.141,0x82,0x00,True,2.25,-4.41,99.83,0,55.31
16:36:50.495,16:36:50.495,150.155,0x82,0x00,True,2.26,-4.42,99.83,0,55.26
16:37:20.515,16:37:20.515,180.175,0x82,0x00,True,2.27,-4.43,99.82,0,55.39
16:37:50.560,16:37:50.560,210.22,0x82,0x00,True,2.26,-4.44,99.84,0,55.4
16:38:20.580,16:38:20.580,240.24,0x82,0x00,True,2.26,-4.44,99.8,0,55.42
16:38:50.595,16:38:50.595,270.255,0x82,0x00,True,2.27,-4.42,99.8,0,55.52
16:39:20.645,16:39:20.645,300.305,0x82,0x00,True,2.26,-4.43,99.79,0,55.5
16:39:50.665,16:39:50.665,330.325,0x82,0x00,True,2.27,-4.44,99.82,0,55.6
16:40:20.689,16:40:20.689,360.349,0x82,0x00,True,2.28,-4.42,99.8,0,55.6
16:40:50.735,16:40:50.735,390.395,0x82,0x00,True,2.27,-4.43,99.8,0,55.65
16:41:20.765,16:41:20.765,420.425,0x82,0x00,True,2.27,-4.38,99.82,0,55.61
16:41:50.790,16:41:50.790,450.45,0x82,0x00,True,2.26,-4.44,99.78,0,55.54
16:42:20.820,16:42:20.820,480.48,0x82,0x00,True,2.26,-4.43,99.76,0,55.51
16:42:50.855,16:42:50.855,510.515,0x82,0x00,True,2.27,-4.43,99.73,0,55.6
16:43:20.891,16:43:20.891,540.551,0x82,0x00,True,2.28,-4.42,99.77,0,55.53
16:43:50.905,16:43:50.905,570.565,0x82,0x00,True,2.26,-4.43,99.75,0,55.58
16:44:20.955,16:44:20.955,600.615,0x82,0x00,True,2.28,-4.42,99.76,0,55.6
16:44:50.979,16:44:50.979,630.639,0x82,0x00,True,2.27,-4.45,99.78,0,55.68
16:45:21.000,16:45:21.000,660.66,0x82,0x00,True,2.27,-4.44,99.79,0,55.69
16:45:51.030,16:45:51.030,690.69,0x82,0x00,True,2.29,-4.46,99.81,0,55.69
16:46:21.078,16:46:21.078,720.738,0x82,0x00,True,2.26,-4.45,99.84,0,55.79
16:46:51.110,16:46:51.110,750.77,0x82,0x00,True,2.28,-4.46,99.83,0,55.75
16:47:21.141,16:47:21.141,780.801,0x82,0x00,True,2.27,-4.45,99.82,0,55.72
16:47:51.170,16:47:51.170,810.83,0x82,0x00,True,2.28,-4.44,99.83,0,55.79
16:48:21.200,16:48:21.200,840.86,0x82,0x00,True,2.28,-4.43,99.78,0,55.67
16:48:51.225,16:48:51.225,870.885,0x82,0x00,True,2.27,-4.45,99.79,0,55.69
16:49:21.265,16:49:21.265,900.925,0x82,0x00,True,2.28,-4.45,99.84,0,55.7
16:49:51.295,16:49:51.295,930.955,0x82,0x00,True,2.28,-4.38,99.77,0,55.59
16:50:21.315,16:50:21.315,960.975,0x82,0x00,True,2.28,-4.42,99.74,0,55.56
16:50:51.355,16:50:51.355,991.015,0x82,0x00,True,2.27,-4.41,99.73,0,55.38
16:51:21.390,16:51:21.390,1021.05,0x82,0x00,True,2.28,-4.43,99.73,0,55.48
16:51:51.399,16:51:51.399,1051.059,0x82,0x00,True,2.28,-4.39,99.74,0,55.34
16:52:21.450,16:52:21.450,1081.11,0x82,0x00,True,2.28,-4.4,99.69,0,55.2
16:52:51.485,16:52:51.485,1111.145,0x82,0x00,True,2.27,-4.4,99.72,0,55.18
16:53:21.505,16:53:21.505,1141.165,0x82,0x00,True,2.27,-4.4,99.64,0,55.0
16:53:51.535,16:53:51.535,1171.195,0x82,0x00,True,2.27,-4.41,99.55,0,54.85
16:54:21.556,16:54:21.556,1201.216,0x82,0x00,True,2.27,-4.37,99.54,0,54.72
16:54:51.570,16:54:51.570,1231.23,0x82,0x00,True,2.26,-4.43,99.52,0,54.41
16:55:21.610,16:55:21.610,1261.27,0x82,0x00,True,2.25,-4.38,99.53,0,54.08
16:55:51.636,16:55:51.636,1291.296,0x82,0x00,True,2.26,-4.42,99.44,0,53.81
16:56:21.655,16:56:21.655,1321.315,0x82,0x00,True,2.26,-4.37,99.44,0,53.86
16:56:51.685,16:56:51.685,1351.345,0x82,0x00,True,2.26,-4.44,99.45,0,53.77
16:57:21.700,16:57:21.700,1381.36,0x82,0x00,True,2.28,-4.45,99.43,0,53.62
16:57:51.745,16:57:51.745,1411.405,0x82,0x00,True,2.26,-4.42,99.4,0,53.5
16:58:21.761,16:58:21.761,1441.421,0x82,0x00,True,2.27,-4.4,99.37,0,53.43
16:58:51.790,16:58:51.790,1471.45,0x82,0x00,True,2.26,-4.41,99.39,0,53.48
