时间戳,绝对时间,相对时间(s),功能码,参数,校验通过,MagNorm,Mx,My,Mz
16:34:40.345,16:34:40.345,20.005,0x8A,0x00,True,4,3.19,3.8,-0.39
16:35:10.398,16:35:10.398,50.058,0x8A,0x00,True,4,3.18,3.79,-0.4
16:35:40.420,16:35:40.420,80.08,0x8A,0x00,True,4,3.17,3.77,-0.44
16:36:10.440,16:36:10.440,110.1,0x8A,0x00,True,4,3.2,3.8,-0.38
16:36:40.485,16:36:40.485,140.145,0x8A,0x00,True,4,3.18,3.83,-0.31
16:37:10.510,16:37:10.510,170.17,0x8A,0x00,True,4,3.17,3.79,-0.39
16:37:40.540,16:37:40.540,200.2,0x8A,0x00,True,4,3.15,3.83,-0.42
16:38:10.574,16:38:10.574,230.234,0x8A,0x00,True,4,3.17,3.77,-0.42
16:38:40.601,16:38:40.601,260.261,0x8A,0x00,True,4,3.17,3.75,-0.42
16:39:10.630,16:39:10.630,290.29,0x8A,0x00,True,4,3.14,3.78,-0.37
16:39:40.660,16:39:40.660,320.32,0x8A,0x00,True,4,3.17,3.83,-0.42
16:40:10.695,16:40:10.695,350.355,0x8A,0x00,True,4,3.16,3.79,-0.4
16:40:40.715,16:40:40.715,380.375,0x8A,0x00,True,4,3.19,3.81,-0.39
16:41:10.745,16:41:10.745,410.405,0x8A,0x00,True,5,3.18,3.85,-0.38
16:41:40.770,16:41:40.770,440.43,0x8A,0x00,True,4,3.21,3.79,-0.41
16:42:10.814,16:42:10.814,470.474,0x8A,0x00,True,4,3.19,3.76,-0.39
16:42:40.835,16:42:40.835,500.495,0x8A,0x00,True,4,3.18,3.76,-0.41
16:43:10.875,16:43:10.875,530.535,0x8A,0x00,True,4,3.2,3.8,-0.39
16:43:40.910,16:43:40.910,560.57,0x8A,0x00,True,4,3.17,3.82,-0.42
16:44:10.931,16:44:10.931,590.591,0x8A,0x00,True,4,3.18,3.81,-0.4
16:44:40.970,16:44:40.970,620.63,0x8A,0x00,True,4,3.19,3.8,-0.43
16:45:11.000,16:45:11.000,650.66,0x8A,0x00,True,4,3.14,3.83,-0.39
16:45:41.021,16:45:41.021,680.681,0x8A,0x00,True,4,3.17,3.77,-0.42
16:46:11.060,16:46:11.060,710.72,0x8A,0x00,True,4,3.15,3.81,-0.44
16:46:41.095,16:46:41.095,740.755,0x8A,0x00,True,5,3.21,3.82,-0.42
16:47:11.125,16:47:11.125,770.785,0x8A,0x00,True,4,3.18,3.81,-0.41
16:47:41.145,16:47:41.145,800.805,0x8A,0x00,True,4,3.21,3.8,-0.41
16:48:11.190,16:48:11.190,830.85,0x8A,0x00,True,4,3.16,3.8,-0.4
16:48:41.220,16:48:41.220,860.88,0x8A,0x00,True,4,3.2,3.79,-0.38
16:49:11.235,16:49:11.235,890.895,0x8A,0x00,True,4,3.18,3.8,-0.38
16:49:41.280,16:49:41.280,920.94,0x8A,0x00,True,4,3.17,3.8,-0.42
16:50:11.320,16:50:11.320,950.98,0x8A,0x00,True,5,3.18,3.84,-0.36
16:50:41.345,16:50:41.345,981.005,0x8A,0x00,True,4,3.19,3.8,-0.4
16:51:11.380,16:51:11.380,1011.04,0x8A,0x00,True,4,3.17,3.78,-0.41
16:51:41.391,16:51:41.391,1041.051,0x8A,0x00,True,5,3.19,3.82,-0.45
16:52:11.436,16:52:11.436,1071.096,0x8A,0x00,True,4,3.18,3.81,-0.41
16:52:41.460,16:52:41.460,1101.12,0x8A,0x00,True,4,3.17,3.78,-0.39
16:53:11.495,16:53:11.495,1131.155,0x8A,0x00,True,4,3.17,3.79,-0.39
16:53:41.521,16:53:41.521,1161.181,0x8A,0x00,True,4,3.17,3.82,-0.44
16:54:11.545,16:54:11.545,1191.205,0x8A,0x00,True,4,3.17,3.83,-0.35
16:54:41.580,16:54:41.580,1221.24,0x8A,0x00,True,5,3.18,3.84,-0.44
16:55:11.605,16:55:11.605,1251.265,0x8A,0x00,True,4,3.17,3.8,-0.41
16:55:41.620,16:55:41.620,1281.28,0x8A,0x00,True,4,3.17,3.77,-0.44
16:56:11.655,16:56:11.655,1311.315,0x8A,0x00,True,4,3.17,3.78,-0.39
16:56:41.665,16:56:41.665,1341.325,0x8A,0x00,True,4,3.16,3.81,-0.38
16:57:11.700,16:57:11.700,1371.36,0x8A,0x00,True,5,3.18,3.84,-0.4
16:57:41.729,16:57:41.729,1401.389,0x8A,0x00,True,4,3.19,3.78,-0.4
16:58:11.750,16:58:11.750,1431.41,0x8A,0x00,True,4,3.18,3.76,-0.39
16:58:41.783,16:58:41.783,1461.443,0x8A,0x00,True,4,3.17,3.77,-0.45
16:59:11.801,16:59:11.801,1491.461,0x8A,0x00,True,4,3.16,3.8,-0.38
16:59:41.825,16:59:41.825,1521.485,0x8A,0x00,True,4,3.15,3.8,-0.37
17:00:11.845,17:00:11.845,1551.505,0x8A,0x00,True,4,3.17,3.82,-0.34
17:00:41.865,17:00:41.865,1581.525,0x8A,0x00,True,4,3.19,3.81,-0.45
17:01:11.885,17:01:11.885,1611.545,0x8A,0x00,True,4,3.19,3.81,-0.41
17:01:41.925,17:01:41.925,1641.585,0x8A,0x00,True,4,3.2,3.8,-0.38
17:02:11.955,17:02:11.955,1671.615,0x8A,0x00,True,4,3.19,3.81,-0.43
17:02:41.960,17:02:41.960,1701.62,0x8A,0x00,True,4,3.21,3.78,-0.43
